### Sat Jan 29 10:33:13 PM
102	->	8
107	->	9
111	->	10
130	->	10
138	->	11
153	->	12
153	->	13
35	->	2
36	->	2
37	->	2
38	->	2
31	->	1
56	->	3
72	->	4
79	->	5
87	->	6
100	->	7
175	->	14
182	->	14
191	->	15
123	->	16
225	->	17
228	->	18
240	->	19
244	->	20
253	->	21
260	->	21
261	->	21
38	->	22
97	->	23
109	->	24
294	->	24
26	->	25
18	->	26
232	->	27
309	->	28
316	->	29
318	->	30
328	->	30
1	->	31
340	->	31
341	->	32
120	->	33
343	->	34
2	->	35
2	->	36
2	->	37
2	->	38
22	->	38
353	->	38
358	->	39
367	->	40
247	->	41
374	->	41
404	->	42
405	->	43
414	->	44
424	->	45
425	->	45
432	->	46
433	->	47
434	->	48
442	->	49
444	->	50
451	->	51
461	->	52
72	->	53
463	->	54
467	->	54
469	->	55
3	->	56
474	->	56
487	->	57
488	->	58
493	->	58
494	->	58
495	->	58
499	->	59
485	->	60
501	->	61
502	->	61
505	->	62
509	->	63
510	->	64
513	->	65
514	->	65
515	->	66
516	->	67
518	->	67
519	->	67
520	->	68
526	->	69
529	->	69
532	->	70
533	->	71
4	->	72
53	->	72
542	->	72
548	->	73
550	->	74
555	->	74
561	->	75
573	->	76
574	->	77
333	->	78
575	->	78
5	->	79
577	->	79
583	->	80
584	->	80
588	->	81
180	->	82
590	->	83
591	->	84
596	->	85
218	->	154
677	->	155
702	->	156
749	->	157
751	->	158
755	->	158
756	->	159
757	->	160
758	->	160
759	->	160
584	->	161
699	->	162
633	->	163
760	->	163
173	->	164
563	->	165
492	->	166
532	->	167
691	->	168
121	->	169
490	->	170
598	->	86
6	->	87
567	->	87
601	->	88
604	->	89
610	->	90
614	->	91
615	->	91
616	->	92
618	->	92
619	->	92
620	->	92
628	->	93
629	->	93
633	->	94
632	->	95
634	->	96
7	->	97
635	->	98
636	->	98
602	->	99
598	->	100
637	->	101
638	->	101
8	->	102
370	->	102
689	->	122
639	->	103
672	->	113
640	->	104
723	->	141
690	->	124
691	->	124
236	->	105
644	->	105
665	->	106
9	->	107
667	->	107
668	->	107
296	->	108
10	->	109
669	->	110
10	->	111
670	->	112
671	->	112
669	->	114
675	->	115
679	->	116
681	->	116
682	->	117
684	->	118
669	->	119
33	->	120
669	->	120
685	->	120
169	->	121
174	->	121
14	->	123
694	->	125
25	->	126
696	->	127
697	->	128
643	->	129
699	->	130
536	->	131
638	->	132
565	->	133
709	->	134
394	->	135
717	->	136
718	->	136
711	->	137
11	->	138
240	->	138
147	->	139
721	->	140
722	->	140
724	->	142
731	->	143
734	->	144
736	->	145
737	->	146
139	->	147
739	->	147
719	->	148
737	->	149
578	->	150
241	->	151
735	->	152
740	->	152
12	->	153
13	->	153
748	->	153
584	->	171
563	->	172
14	->	173
120	->	174
14	->	175
761	->	176
584	->	177
244	->	178
669	->	179
14	->	180
549	->	181
292	->	182
763	->	182
766	->	183
579	->	184
767	->	185
580	->	186
768	->	186
766	->	187
772	->	188
774	->	189
573	->	190
15	->	191
622	->	191
776	->	192
775	->	193
777	->	194
778	->	195
779	->	196
781	->	196
780	->	197
782	->	197
783	->	198
785	->	199
786	->	199
788	->	200
650	->	201
586	->	202
573	->	203
789	->	203
790	->	204
791	->	204
792	->	205
695	->	206
473	->	207
792	->	208
596	->	209
698	->	210
792	->	211
560	->	212
797	->	213
692	->	214
786	->	215
798	->	216
794	->	217
154	->	218
799	->	218
800	->	219
801	->	219
802	->	220
786	->	221
16	->	222
803	->	222
804	->	222
678	->	223
805	->	223
674	->	224
17	->	225
806	->	225
528	->	226
807	->	227
808	->	228
454	->	229
809	->	230
810	->	231
19	->	232
816	->	233
817	->	234
818	->	235
19	->	236
631	->	237
428	->	238
813	->	239
138	->	240
826	->	240
151	->	241
827	->	241
828	->	242
830	->	243
831	->	243
20	->	244
178	->	244
501	->	244
832	->	244
354	->	245
585	->	246
21	->	247
834	->	248
306	->	249
702	->	250
835	->	251
711	->	252
21	->	253
810	->	254
839	->	255
716	->	256
843	->	257
844	->	257
348	->	258
672	->	259
845	->	260
846	->	260
21	->	261
377	->	262
288	->	263
849	->	264
272	->	265
598	->	266
851	->	267
852	->	267
853	->	268
855	->	269
815	->	270
856	->	270
857	->	270
858	->	270
861	->	271
204	->	272
689	->	273
862	->	273
695	->	274
863	->	274
864	->	275
866	->	276
694	->	277
867	->	277
871	->	278
872	->	279
694	->	280
339	->	281
426	->	282
495	->	283
23	->	284
540	->	285
289	->	286
873	->	287
876	->	287
879	->	287
192	->	288
286	->	289
786	->	289
880	->	290
547	->	291
24	->	292
783	->	293
24	->	294
875	->	295
108	->	296
881	->	296
172	->	297
877	->	297
884	->	298
888	->	299
688	->	300
849	->	301
811	->	302
896	->	303
329	->	304
897	->	304
676	->	305
249	->	306
900	->	306
27	->	307
901	->	307
534	->	308
28	->	309
479	->	309
903	->	310
899	->	311
906	->	312
908	->	312
909	->	313
911	->	313
912	->	314
795	->	315
29	->	316
913	->	316
914	->	316
780	->	317
30	->	318
915	->	319
697	->	320
697	->	321
916	->	321
164	->	322
917	->	322
697	->	323
666	->	324
363	->	325
629	->	326
918	->	326
780	->	327
30	->	328
363	->	328
304	->	329
673	->	329
881	->	330
827	->	331
920	->	332
78	->	333
922	->	333
925	->	334
650	->	335
908	->	336
927	->	337
661	->	338
281	->	339
576	->	339
31	->	340
934	->	340
935	->	340
32	->	341
938	->	341
881	->	342
34	->	343
698	->	343
677	->	344
939	->	344
350	->	345
551	->	346
946	->	347
258	->	348
611	->	348
523	->	349
947	->	349
345	->	350
366	->	350
948	->	350
949	->	350
727	->	351
829	->	351
953	->	352
38	->	353
841	->	353
245	->	354
930	->	354
955	->	354
956	->	355
958	->	355
959	->	355
961	->	356
896	->	357
39	->	358
962	->	358
765	->	359
472	->	360
166	->	361
544	->	362
325	->	363
328	->	363
786	->	363
472	->	364
962	->	365
213	->	366
40	->	367
964	->	367
965	->	367
966	->	367
962	->	368
954	->	369
102	->	370
872	->	370
736	->	371
324	->	372
704	->	373
41	->	374
391	->	375
969	->	376
970	->	376
971	->	376
262	->	377
882	->	377
972	->	377
973	->	377
713	->	378
41	->	379
976	->	380
892	->	381
936	->	382
977	->	382
884	->	383
796	->	384
896	->	385
730	->	386
938	->	387
958	->	388
978	->	389
802	->	390
375	->	391
979	->	391
980	->	392
983	->	393
42	->	394
984	->	395
986	->	396
468	->	397
976	->	398
960	->	399
581	->	400
436	->	401
905	->	402
968	->	403
990	->	404
43	->	405
429	->	405
731	->	406
991	->	407
992	->	407
908	->	408
892	->	409
993	->	410
773	->	411
943	->	412
983	->	413
44	->	414
749	->	414
535	->	415
851	->	416
872	->	417
995	->	418
848	->	419
574	->	420
609	->	421
996	->	422
997	->	423
45	->	424
45	->	425
929	->	425
90	->	426
998	->	427
999	->	427
1000	->	427
146	->	428
405	->	429
898	->	429
919	->	429
510	->	430
1003	->	431
46	->	432
1005	->	432
47	->	433
802	->	433
48	->	434
888	->	434
691	->	435
361	->	436
251	->	437
307	->	438
437	->	439
1006	->	439
640	->	440
49	->	441
322	->	442
444	->	443
50	->	444
440	->	444
448	->	445
915	->	446
1007	->	447
134	->	448
456	->	449
731	->	450
51	->	451
1008	->	451
652	->	452
687	->	453
229	->	454
1012	->	454
1014	->	454
660	->	455
449	->	456
817	->	456
923	->	457
275	->	458
1015	->	458
842	->	459
1018	->	459
1021	->	460
1027	->	460
52	->	461
632	->	461
1009	->	462
1028	->	462
54	->	463
626	->	464
1029	->	464
602	->	465
1030	->	466
1031	->	466
54	->	467
1010	->	467
55	->	468
397	->	468
1033	->	468
336	->	469
836	->	470
1034	->	471
360	->	472
364	->	472
696	->	472
56	->	473
213	->	474
1035	->	475
870	->	476
933	->	477
564	->	478
309	->	479
1037	->	479
1037	->	480
1039	->	481
995	->	482
1022	->	483
1040	->	483
1042	->	483
1024	->	484
60	->	485
605	->	485
1036	->	486
57	->	487
1044	->	487
1045	->	487
58	->	488
1046	->	489
170	->	490
491	->	490
490	->	491
632	->	491
70	->	492
58	->	493
58	->	494
