
node    value
number
-------------------
186	595
147	483
145	403
408	321
228	240
227	237
205	213
230	162
229	156
231	151
426	145
155	142
153	121
146	106
89	94
298	93
427	90
173	73
174	69
198	65
208	63
176	63
6	63
233	45
238	44
128	44
184	42
285	41
220	41
376	40
295	39
243	39
154	36
245	35
135	35
392	33
306	33
193	30
300	29
159	29
412	28
188	28
183	28
374	27
352	27
422	26
365	26
382	25
157	25
311	24
435	23
409	23
185	23
68	23
439	22
207	22
436	21
383	21
334	21
202	21
182	21
127	21
108	21
443	20
417	20
293	20
211	20
199	20
143	20
88	20
323	19
217	19
158	19
7	19
449	18
414	18
335	18
187	18
149	18
74	18
63	18
62	18
395	17
299	17
39	17
440	16
413	16
390	16
297	16
282	16
221	16
218	16
27	16
1	16
354	15
332	15
215	15
200	15
197	15
164	15
152	15
150	15
124	15
109	15
49	15
33	15
373	14
371	14
316	14
302	14
272	14
244	14
210	14
196	14
167	14
136	14
122	14
60	14
58	14
28	14
431	13
389	13
312	13
273	13
248	13
246	13
206	13
93	13
10	13
445	12
444	12
432	12
416	12
406	12
329	12
326	12
320	12
286	12
232	12
224	12
170	12
144	12
139	12
64	12
45	12
42	12
4	12
399	11
391	11
387	11
342	11
303	11
271	11
216	11
212	11
204	11
195	11
175	11
161	11
140	11
121	11
116	11
90	11
77	11
70	11
32	11
18	11
11	11
421	10
402	10
401	10
394	10
381	10
349	10
343	10
337	10
309	10
304	10
261	10
239	10
107	10
106	10
105	10
104	10
103	10
102	10
99	10
86	10
44	10
41	10
40	10
36	10
30	10
29	10
451	9
441	9
438	9
404	9
385	9
364	9
353	9
348	9
345	9
269	9
235	9
169	9
160	9
132	9
130	9
129	9
125	9
117	9
98	9
94	9
53	9
50	9
48	9
47	9
46	9
37	9
26	9
25	9
24	9
14	9
13	9
3	9
452	8
442	8
437	8
429	8
428	8
397	8
370	8
346	8
344	8
336	8
301	8
292	8
291	8
290	8
289	8
288	8
287	8
280	8
276	8
275	8
270	8
259	8
241	8
222	8
171	8
168	8
166	8
163	8
141	8
110	8
97	8
83	8
82	8
81	8
80	8
71	8
59	8
34	8
31	8
450	7
425	7
407	7
384	7
360	7
201	7
191	7
126	7
119	7
113	7
112	7
111	7
85	7
84	7
76	7
75	7
73	7
69	7
52	7
43	7
453	6
434	6
433	6
430	6
388	6
386	6
375	6
361	6
359	6
355	6
350	6
340	6
333	6
330	6
328	6
327	6
325	6
324	6
322	6
321	6
318	6
314	6
274	6
263	6
257	6
255	6
249	6
240	6
237	6
236	6
214	6
213	6
179	6
162	6
138	6
134	6
133	6
131	6
123	6
118	6
115	6
114	6
100	6
96	6
79	6
51	6
38	6
22	6
21	6
20	6
19	6
17	6
9	6
8	6
424	5
420	5
396	5
368	5
363	5
362	5
357	5
351	5
347	5
317	5
279	5
268	5
267	5
266	5
250	5
223	5
178	5
177	5
172	5
148	5
142	5
137	5
91	5
87	5
78	5
66	5
57	5
23	5
16	5
15	5
446	4
410	4
403	4
380	4
379	4
372	4
369	4
366	4
331	4
296	4
262	4
226	4
165	4
120	4
101	4
65	4
61	4
56	4
35	4
12	4
5	4
448	3
447	3
418	3
411	3
405	3
400	3
393	3
378	3
367	3
356	3
341	3
339	3
338	3
319	3
315	3
313	3
310	3
308	3
307	3
305	3
277	3
260	3
258	3
256	3
254	3
253	3
252	3
251	3
247	3
234	3
225	3
219	3
209	3
203	3
194	3
192	3
190	3
189	3
156	3
151	3
92	3
55	3
2	3
419	2
415	2
398	2
278	2
265	2
264	2
242	2
181	2
180	2
95	2
72	2
67	2
54	2
998	1
997	1
685	1
610	1
423	1
377	1
294	1
284	1
283	1
281	1
